CEST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-8-13,19,18,18,19,17,15,100,92,83,1011,1007,1002,10,6,2,26,18,,0.00,6,Rain,325<br />
2002-8-14,22,18,13,16,15,13,100,79,64,1017,1015,1012,10,10,10,26,19,,0.00,5,Fog,320<br />
2002-8-15,24,18,12,18,16,12,100,83,65,1018,1017,1016,10,7,0,18,6,,0.00,2,Fog,322<br />
2002-8-16,25,19,13,20,17,12,100,84,69,1019,1018,1018,10,5,0,14,6,,0.00,5,Fog-Rain-Thunderstorm,330<br />
2002-8-17,27,22,18,20,17,16,100,76,51,1020,1019,1018,10,4,0,14,8,,0.00,6,Fog,29<br />
2002-8-18,27,20,14,18,15,13,94,70,42,1020,1019,1018,10,10,10,14,10,,0.00,6,,73<br />
2002-8-19,28,22,16,16,13,9,82,58,34,1022,1021,1020,,,,21,11,,0.00,,,110<br />
2002-8-20,27,20,14,14,11,9,77,53,34,1022,1020,1017,,,,26,13,,0.00,,,119<br />
2002-8-21,28,21,15,17,13,9,82,57,35,1017,1016,1014,,,,18,11,,0.00,,,110<br />
2002-8-22,28,19,11,15,11,8,88,57,30,1018,1016,1015,,,,18,6,,0.00,,,78<br />
2002-8-23,29,20,12,16,12,10,94,59,30,1019,1018,1017,10,10,10,14,8,,0.00,3,Fog,67<br />
2002-8-24,28,21,14,13,11,8,77,52,32,1022,1021,1020,,,,14,10,
